text,label
"Ωραία μέρα σήμερα",1
"Σήμερα είναι Τετάρτη",2
"Η Μαρία είναι στην αυλή",2
"Του έφαγες τα λεφτά και τώρα δεν ξέρει τι να κάνει",0
"Το κατάστημα ήταν κλειστό πάλι",0
"Δεν πήγα σήμερα στη δουλειά,ήμουν άρρωστη",0
"Δεν είχα καθόλου όρεξη για κουβέντα",0
"Η παράσταση ήταν μαγευτική,θέλω τον άλλο μήνα να ξανά έρθω",1
"Η τράπεζα με καθυστέρησε χωρίς λόγο",0
"Η γάτα μου δεν ήθελε να φάει σήμερα,κοιμόταν όλη μέρα",2
"Ο ήχος ήταν εκνευριστικά δυνατός",0
"Δεν μπορώ να αποφασίσω τι θέλω να κάνω",2
"Θα βρέξει αύριo?",2
"Δεν θα ξυπνήσω τη Σοφία νωρίς",2
"Περίμενα περισσότερα, ειλικρινά απογοητεύτηκα.",0
"Η συνέντευξη πήγε καλύτερα απ’ όσο νόμιζα",1
"Δεν βρήκα τίποτα ενδιαφέρον στις αγγελίες",0
"Το παιδί γελούσε όλη μέρα",1
"Ήταν απλώς μια συνηθισμένη μέρα",2
"Η βροχή δυναμώνει σιγά σιγά",2
"Το φαγητό είχε ωραία μυρωδιά αλλά δεν τρωγόταν",0
"Περάσαμε υπέροχα χθες!",1
"Αρκετά μέτρια πιάτα, τίποτα το ιδιαίτερο",2
"Το πρόγραμμα κόλλησε πάλι!",0
"Ένιωσα όμορφα που το τελείωσα.",1
"Ο υπολογιστής κάνει έναν περίεργο θόρυβο",0
"Καταπληκτικό αποτέλεσμα, δεν το περίμενα!",1
"Η εξυπηρέτηση ήταν απογοητευτική.",0
"Απλώς χαμογέλασα και έφυγα.",2
"Η εμπειρία ήταν όμορφη από την αρχή ως το τέλος.",1
"Ήταν εντάξει, όχι κάτι φοβερό.",2
"Πόσο μου έλειψε το σπίτι μου!",1
"Η θεατρική παράσταση κράτησε υπερβολικά πολύ",0
"Πολύ φιλικό προσωπικό!",1
"Καμία ενημέρωση για την παραγγελία, απογοήτευση.",0
"Η μουσική ήταν δυνατή, αλλά του γούστου μου.",1
"Αργήσαμε λίγο, αλλά όλα πήγαν καλά.",1
"Η εξυπηρέτηση ήταν αγενής, δυστυχώς.",0
"Κοιμήθηκα αργά, αλλά ξύπνησα ξεκούραστη.",1
"Με πλήγωσαν τα λόγια της.",0
"Ήταν απαράδεκτη η συμπεριφορά του.",0
"Δεν έβαλε καθόλου νερό στο κρασί του, ίσως για αυτό έγιναν έτσι τα πράγματα.",0
"Αν και δυσκολεύτηκα, τα κατάφερα.",1
"Δεν ήταν τόσο κακό όσο λένε.",2
"Έφαγε πόρτα από την αδελφή του και έτσι άλλαξε τα σχέδιά του",0
"Το βιβλίο ήταν ενδιαφέρον",1
"Ήταν ωραίο να περπατάς στο κρύο.",1
"Το φαγητό ήταν χλιαρό και άνοστο.",0
"Πέρασα ήσυχα, τίποτα σπουδαίο.",0
"Το πάρτι ήταν φανταστικό!",1
"Δεν ήταν τέλειο, αλλά μου άρεσε",1
"Περίεργη ατμόσφαιρα, δεν ένιωσα άνετα.",0
"Τίποτα δεν άλλαξε από χθες.",2
"Είχε πλάκα, αν και λίγο βαρετό στο τέλος",1
"Δεν είχα δίκιο, αλλά το προσπάθησα",2
"Χάρηκα πολύ που το άκουσα!",1
"Δεν ήταν και η καλύτερη μέρα μου",0
"Ο σκύλος ήταν χαρούμενος όλη μέρα",1
"Πολύς θόρυβος για το τίποτα",0
"Ήθελα να φύγω από την αρχή.",0
"Είμαι περήφανη για εσένα",1
"Τουλάχιστον προσπάθησες.",1
"Δεν κατάλαβα τι εννοούσε",2
"Πέρασε η ώρα χωρίς να το καταλάβω",2
"Ήταν δύσκολο το τεστ, δεν ξέρω αν τα πήγα καλά.",0
"Η εξήγηση δεν ήταν καθόλου σαφής.",0
"Το σχέδιο βγήκε τέλειο",1
"Δεν ένιωσα άνετα εκεί",0
"Ο Χρήστος έδωσε δύο φορές πανελλήνιες",2
"Το μέρος ήταν άδειο και ψυχρό.",0
"Έμαθα κάτι καινούριο σήμερα",1
"Δε θυμάμαι τίποτα ιδιαίτερο.",2
"Η ομιλία ήταν ενδιαφέρουσα αλλά μακροσκελής",2
"Ο ήλιος έκαιγε αφόρητα.",0
"Όλα κύλησαν ομαλά.",1
"Άκουσες το τραγούδι που σου έστειλα;",2
"Η μαμά μου μαγειρεύει πολυ ωραία",1
"Απέτυχε για τρίτη φορά.",0
"Σπάγανε πλάκα με τον καθηγητή και δεν μπόρεσε να γίνει μάθημα",0
"Το δωμάτιο ήταν καθαρό και ήσυχο",1
"Ο Γιάννης έπεσε από τη μηχανή και έπσασε το χέρι του",0
"Δεν σου πηγαίνει καθόλου το ροζ",0
"Δεν μου άρεσε καθόλου το αμάξι του",0
"Έμεινα ικανοποιημένος από το αποτέλεσμα",1
"Δεν είδα διαφορά μετά την αλλαγή",2
"Η μυρωδιά ήταν απαίσια!",0
"Το φως του ήλιου έμπαινε όμορφα απ’ το παράθυρο",1
"Τίποτα δεν πήγε όπως το περίμενα",0
"Η βροχή έκανε τον δρόμο να γλιστράει",2
"Το δείπνο ήταν απολαυστικό",1
"Δεν ήταν κακό, αλλά ούτε καλό",2
"Η συνάντηση ήταν σύντομη και παραγωγική",1
"Δεν είχαμε αρκετό χρόνο για συζήτηση",0
"Το παιδί έτρεξε να με αγκαλιάσει",1
"Η αίθουσα ήταν σκοτεινή και ψυχρή",0
"Δεν έγινε τίποτα ενδιαφέρον σήμερα",2
"Ήταν μια όμορφη στιγμή",1
"Δεν μπόρεσα να συγκεντρωθώ γιατί σκεφτόμουν τι έγινε εχθές",0
"Η εκδρομή ήταν χαλαρωτική, αλλά ζαλίστηκα στη διαδρομή",2
"Όλα ήταν όπως τα είχα φανταστεί",1
"Γύρισα πάλι και σε βρήκα να κοιμάσαι",2
"Αν ήταν λίγο πιο οργανωμένοι, θα ήταν υπέροχα",1
"Καλό το αποτέλεσμα, αν και καθυστέρησαν αρκετά.",1
"Επιτέλους Παρασκευή!",1
"Χάρηκα που πήγα, αν και περίμενα περισσότερα.",1
"Όμορφη ατμόσφαιρα, αλλά πολύ θόρυβος",2
"Η μέρα ξεκίνησε δύσκολα, αλλά τελικά πήγε καλά",1
"Δεν ήταν άσχημα, απλώς κουραστικά",2
"Τόση φασαρία για κάτι τόσο απλό, εντυπωσιακό.",0
"Αν το είχα ξανακάνει, ίσως να μην είχα αγχωθεί τόσο",2
"Περίμενα να είναι χάλια, αλλά με εξέπληξε θετικά",1
"Ωραίο project, κρίμα που δεν δούλεψε τίποτα σωστά",0
"Τόση προσπάθεια για ένα τόσο μέτριο αποτέλεσμα",0
"Δεν είχα μεγάλες προσδοκίες και τελικά καλά έκανα",1
"Το συνέδριο ήταν ενδιαφέρον, αν και λίγο κουραστικό",1
"είσαι κουρασμένος αλλά δεν είσαι ο μοναδικός",2
"Πολύ καλύτερο απ’ ό,τι διαφημιζόταν",1
"Χάρηκα που τέλειωσε, όχι γιατί πέρασα καλά.",0
"Ό,τι κι αν πω, μάλλον λίγο θα είναι.",2
"Αν δεν ήταν το φαγητό, θα είχα φύγει νωρίτερα",0
"Ήταν ωραίο που προσπάθησαν τουλάχιστον",1
"Δεν ενθουσιάστηκα, αλλά δεν ήταν και καταστροφή",2
"Είχε τις στιγμές του, αλλά όχι αρκετές",2
"Δεν ήταν κακό, απλώς υπερβολικά φλύαρο",2
"Ωραία εμπειρία, παρότι δεν κράτησε πολύ",1
"Πάλι άργησε ο Γιώργος;",0
"Τουλάχιστον γελάσαμε, κάτι είναι κι αυτό",1
"Δεν μπορώ να σου μιλήσω τώρα, δεν είμαι καλά",0
"Όμορφο μέρος, απαράδεκτες τιμές",0
"Ειλικρινά, δεν ξέρω αν πρέπει να γελάσω ή να κλάψω",2
"Ήταν τόσο ήσυχα που σχεδόν κοιμήθηκα",2
"Χάρηκα που είδα γνωστά πρόσωπα, όχι όμως και τη διάλεξη",2
"Καλή προσπάθεια, αλλά χρειάζεται δουλειά",2
"Περίμενα κάτι καλύτερο από έναν τόσο γνωστό σεφ!",0
"Ωραία αρχή, το τέλος όμως με χάλασε",2
"Δεν ήταν τραγικό, απλώς καθόλου οργανωμένο",0
"Πολύ φιλικό προσωπικό, αλλά αργό service",2
"Η ταινία είχε ωραία ιδέα, αλλά κακή εκτέλεση",0
"Καθάρισε το δωμάτιό σου,είναι χάλια!",0
"Χάρηκα που συμμετείχα, παρόλο που κουράστηκα.",1
"Καλή ιδέα, κακή υλοποίηση.",0
"Δεν μπορώ να πω ότι ενθουσιάστηκα."0
"Πέρασα όμορφα, αν και η μουσική ήταν δυνατή",1
"Τουλάχιστον έμαθα κάτι καινούριο",1
"Ήταν ήρεμη μέρα, χωρίς κάτι αξιομνημόνευτο",2
"Το φαγητό ήταν ακριβό, αλλά νόστιμο",1
"Μάλλον δεν θα το ξανάκανα, αλλά ήταν εμπειρία",2
"Πολύ ωραίο περιβάλλον, αν αγνοήσεις τον θόρυβο",1
"Δεν ήταν τόσο άσχημο όσο μου το περιέγραψαν",2
"Ήταν τόσο τέλειο που δεν το πίστευα",1
"Η εξυπηρέτηση ήταν απλώς υποφερτή",0
"Δεν τον αγαπούσε και μου το είπε" 0
"Του έπεσε βαριά η δουλειά μου φαίνεται",2
"Ήταν καλύτερο από το περσινό, αλλά όχι εντυπωσιακό",2
"Μάλλον υπερεκτιμημένο, αλλά όχι απαραίτητα κακό",2
"Του έριξε άκυρο για το αποψινό τραπέζι",0
"Κάποια σημεία ήταν καλά, αλλά σε άλλα βαρέθηκα",2
"Η εξυπηρέτηση ήταν ευγενική, αλλά αργή",2
"Έβγαλαν λαβράκι τα κανάλια μετά την τελευταία της δήλωση",2
"Η συναυλία άξιζε κάθε λεπτό.",1
"Η ταινία ήταν μεγάλη, αλλά δεν κούρασε",1
"Συγκινήθηκα που σε έιδα στην ορκωμοσία σου",1
"Αστείο, αλλά αληθινό: χάρηκα που έφυγα νωρίτερα.",1
"Ήταν υπέροχο μέχρι να αρχίσει η φασαρία",2
"Δεν θέλω να τους ξανα δω",0
"Τουλάχιστον το προσωπικό χαμογελούσε",1
"Με έστησε πάλι!Πέντε είχαμε πει!",0
"Ωραίο μήνυμα παιρνάει το βιβλίο",1
"Ήταν ήρεμο και ξεκούραστο απόγευμα",1
"Μάλλον θα το ξανάκανα...με λίγες βελτιώσεις",1
"Επτά ημέρες θέλω να ηρεμήσω μετά από αυτό",0
"Σε λίγες ημέρες πάμε διακοπές μαζί με τα ξαδέλφια μας!",1
"έκοψε δρόμο και μας πρόλαβε",2
"Δεν θα το θυμάμαι καιρό, αλλά δεν ήταν κακό",2
"Αν μη τι άλλο, ήταν ευχάριστη βραδιά",1
"Η μουσική έσωσε τη βραδιά",1
"Με έριξε πολύ που δεν ήρθες, ενώ μου είχες πει το αντίθετο",0
"Μην τον αφήσεις να φύγει!",2
"Αν και καθυστέρησε, τελικά πήγε καλά.",1
"Κουράστηκα γιατί έτρεχα όλη την ημέρα σήμερα αλλά χαλάλι.",1
"Δεν εντυπωσιάστηκα, αλλά τουλάχιστον ήταν φτηνό",2
"Η μέρα είχε και καλά και άσχημα σημεία",2
"Πάντα θα με νοιάζει αν είσαι καλά",1
"Έτρεξα να την προλάβω αλλά είχε ήδη μπει στο αμάξι",2
"Απλώς ήθελε λίγο καλύτερη ανάγνωση",2
"Ευτυχώς που είχα παρέα, αλλιώς θα βαριόμουν",1
"Ήταν ευχάριστη αλλά λίγο παιδιάστικη",2
"Η παράσταση είχε ενέργεια, αλλά έλειπε η συνοχή.",2
"Αν δεν είχε τόσους ανθρώπους, θα ήταν καλύτερα",2
"Δεν μπορείς να καταλάβεις κάτι αν δεν το βιώσεις",2
"Ο Πέτρος έσπασε το αγαπημένο μου βάζο",0
"Όχι, δεν θέλω να πάω σχολείο" 0
"Τρελό που δούλεψε!",1
"Το θέλω πολύ αλλά δεν ξέρω πώς να το πετύχω",2
"Πήρα το πτυχίο αλλά τώρα δεν ξέρω τι να κάνω",1
"Το ταξίδι ήταν μεγάλο και στη διαδρομή ήθελα να κοιμηθώ",2
"Χάρηκα, αλλά και κουράστηκα ταυτόχρονα",2
"Παρακαλώ χρειάζομαι βοήθεια",2
"Κάνε ό,τι θες",2
"Μην καθυστερήσεις ξανά!",0
"Διάλεξε ποιο χρώμα θες",2
"Εχω δύο γάτες",2
"Τουλάχιστον προσπάθησαν να το διορθώσουν.",1
"Αν δεν είχα πιει καφέ, θα είχα αποκοιμηθεί",2
"Δεν μου είπες ότι θα ερχόσουν",0

